feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
no_history,0.0003,1024,"(256, 256)",0.2,0.2,512,1,7048.8857,139.77492241055592,105.62766058294801
no_history,0.0003,1024,"(256, 256)",0.2,0.2,512,2,5829.3354,136.58664881252452,105.56458012497751
no_history,0.0003,1024,"(256, 256)",0.2,0.2,256,0,8592.982,69.90754660540023,105.88368599995738
no_history,0.0003,1024,"(256, 256)",0.2,0.2,256,1,4900.8706,67.78407713837174,105.70655954204267
no_history,0.0003,1024,"(256, 256)",0.2,0.2,256,2,4783.578,69.2767753630793,105.58519333298318
no_history,0.0003,1024,"(256, 256)",0.2,0.5,512,0,8349.131,193.88605431146328,105.72935599996708
no_history,0.0003,1024,"(256, 256)",0.2,0.5,512,1,8728.51,191.91509429550382,105.71197412500624
no_history,0.0003,1024,"(256, 256)",0.2,0.5,512,2,3670.6448,194.18224060111976,105.57321329100523
no_history,0.0003,1024,"(256, 256)",0.2,0.5,256,0,7297.0103,95.11329980734921,105.97356220899383
no_history,0.0003,1024,"(256, 256)",0.2,0.5,256,1,8778.382,95.91216385458175,105.56255470798351
no_history,0.0003,1024,"(256, 256)",0.2,0.5,256,2,5878.2046,98.9491567146325,105.52961804199731
no_history,0.0003,1024,"(256, 256)",0.1,0.2,512,0,4867.478,131.0723490723347,105.74115716700908
no_history,0.0003,1024,"(256, 256)",0.1,0.2,512,1,5666.702,126.25852849301195,105.78551741695264
no_history,0.0003,1024,"(256, 256)",0.1,0.2,512,2,5879.238,132.90947891753657,105.51829666696722
no_history,0.0003,1024,"(256, 256)",0.1,0.2,256,0,5686.401,64.87346701000617,105.8629385829554
no_history,0.0003,1024,"(256, 256)",0.1,0.2,256,1,5737.417,66.12084836685224,105.4631551670027
no_history,0.0003,1024,"(256, 256)",0.1,0.2,256,2,5963.2314,64.70429761035602,105.71544408297632
no_history,0.0003,1024,"(256, 256)",0.1,0.5,512,0,5871.242,186.8449195387321,105.57381916599115
no_history,0.0003,1024,"(256, 256)",0.1,0.5,512,1,6462.3213,182.86488761605816,105.5513810000266
no_history,0.0003,1024,"(256, 256)",0.1,0.5,512,2,4710.607,184.60129789001493,105.80706433398882
no_history,0.0003,1024,"(256, 256)",0.1,0.5,256,0,5596.702,91.1304424741888,105.73973124998156
no_history,0.0003,1024,"(256, 256)",0.1,0.5,256,1,7985.24,92.54669654870538,105.36189945804654
no_history,0.0003,1024,"(256, 256)",0.1,0.5,256,2,6450.7437,98.66228433345908,105.97146366600646
no_history,0.0003,2048,"(128, 128)",0.2,0.2,512,0,5143.3237,137.98336041347238,97.7548438750091
no_history,0.0003,2048,"(128, 128)",0.2,0.2,512,1,6999.589,129.31181936346397,97.62413541704882
no_history,0.0003,2048,"(128, 128)",0.2,0.2,512,2,6132.4727,135.13388957739159,97.76694529200904
no_history,0.0003,2048,"(128, 128)",0.2,0.2,256,0,5359.9907,64.53718864898896,97.86726312502287
no_history,0.0003,2048,"(128, 128)",0.2,0.2,256,1,6990.924,66.71736809801256,97.02439825003967
no_history,0.0003,2048,"(128, 128)",0.2,0.2,256,2,5352.387,69.36024261806257,96.87995704205241
no_history,0.0003,2048,"(128, 128)",0.2,0.5,512,0,6136.7603,185.77917976838776,97.27857774996664
no_history,0.0003,2048,"(128, 128)",0.2,0.5,512,1,5473.845,187.10576511004865,96.77968720899662
no_history,0.0003,2048,"(128, 128)",0.2,0.5,512,2,5086.879,185.66766982489602,96.79013391700573
no_history,0.0003,2048,"(128, 128)",0.2,0.5,256,0,6557.9985,93.89993494531356,97.24223420897033
no_history,0.0003,2048,"(128, 128)",0.2,0.5,256,1,6326.498,89.17438802987212,97.16900054103462
no_history,0.0003,2048,"(128, 128)",0.2,0.5,256,2,5711.4404,89.32326204379186,97.10736854100833
no_history,0.0003,2048,"(128, 128)",0.1,0.2,512,0,5845.1704,132.28071412164073,99.23021933296695
no_history,0.0003,2048,"(128, 128)",0.1,0.2,512,1,7138.4326,130.4127590477999,99.94013216596795
no_history,0.0003,2048,"(128, 128)",0.1,0.2,512,2,5570.8726,130.57026415720068,99.79616054100916
no_history,0.0003,2048,"(128, 128)",0.1,0.2,256,0,5937.5063,65.88822016194715,99.75083008396905
no_history,0.0003,2048,"(128, 128)",0.1,0.2,256,1,6461.9165,61.4193534817638,99.80727416701848
no_history,0.0003,2048,"(128, 128)",0.1,0.2,256,2,6074.375,67.57487567778296,99.8507867080043
no_history,0.0003,2048,"(128, 128)",0.1,0.5,512,0,5712.522,187.37629928037467,99.97455187502783
no_history,0.0003,2048,"(128, 128)",0.1,0.5,512,1,6709.345,184.3034956960013,100.01918950001709
no_history,0.0003,2048,"(128, 128)",0.1,0.5,512,2,5418.167,185.1173380157284,99.86034195800312
no_history,0.0003,2048,"(128, 128)",0.1,0.5,256,0,5524.5273,91.17750049139134,100.11902683402877
